Nogales,Arizona,2604,US-Mexico Border,2017,Buses,803,31.333,-110.943,POINT (-110.942516 31.332839)
Turner,Montana,3306,US-Canada Border,2018,Buses,1,49.000,-108.388,POINT (-108.387916 48.999527)
Nogales,Arizona,2604,US-Mexico Border,2016,Trains,50,31.333,-110.943,POINT (-110.942516 31.332839)
Calais,Maine,0115,US-Canada Border,2016,Buses,24,45.189,-67.275,POINT (-67.275381 45.188548)
Roma,Texas,2310,US-Mexico Border,2017,Bus Passengers,804,26.404,-99.019,POINT (-99.018981 26.403928)
El Paso,Texas,2402,US-Mexico Border,2018,Trains,127,31.764,-106.451,POINT (-106.451188 31.764363)
Roma,Texas,2310,US-Mexico Border,2016,Personal Vehicles,67222,26.404,-99.019,POINT (-99.018981 26.403928)
Alcan,Alaska,3104,US-Canada Border,2019,Personal Vehicles,722,62.615,-141.001,POINT (-141.001444 62.614961)
Calais,Maine,0115,US-Canada Border,2017,Buses,27,45.189,-67.275,POINT (-67.275381 45.188548)
El Paso,Texas,2402,US-Mexico Border,2019,Trains,135,31.764,-106.451,POINT (-106.451188 31.764363)
Raymond,Montana,3301,US-Canada Border,2017,Trucks,1080,48.999,-104.574,POINT (-104.574333 48.999194)
Laredo,Texas,2304,US-Mexico Border,2017,Buses,2837,27.500,-99.507,POINT (-99.507412 27.499561)
Van Buren,Maine,0108,US-Canada Border,2018,Trucks,1469,47.160,-67.931,POINT (-67.930799 47.159645)
Del Rio,Texas,2302,US-Mexico Border,2017,Trucks,6669,29.327,-100.928,POINT (-100.927612 29.326784)
Wildhorse,Montana,3323,US-Canada Border,2007,Trains,0,48.999,-110.215,POINT (-110.215083 48.999361)
Roma,Texas,2310,US-Mexico Border,2021,Pedestrians,12698,26.404,-99.019,POINT (-99.018981 26.403928)
Blaine,Washington,3004,US-Canada Border,2019,Buses,801,48.994,-122.749,POINT (-122.748884 48.994045)
Fort Kent,Maine,0110,US-Canada Border,2017,Buses,0,47.249,-68.604,POINT (-68.603918 47.249206)
Turner,Montana,3306,US-Canada Border,2016,Trucks,106,49.000,-108.388,POINT (-108.387916 48.999527)
Turner,Montana,3306,US-Canada Border,2019,Personal Vehicles,667,49.000,-108.388,POINT (-108.387916 48.999527)
Turner,Montana,3306,US-Canada Border,2016,Buses,0,49.000,-108.388,POINT (-108.387916 48.999527)
Warroad,Minnesota,3423,US-Canada Border,2018,Buses,37,48.999,-95.377,POINT (-95.376555 48.999)
Fortuna,North Dakota,3417,US-Canada Border,2018,Trucks,455,49.000,-103.809,POINT (-103.80925 48.999555)
Lancaster,Minnesota,3430,US-Canada Border,2018,Buses,4,49.000,-96.801,POINT (-96.800527 49.000194)
Calexico,California,2503,US-Mexico Border,2016,Trucks,0,32.673,-115.388,POINT (-115.388018 32.673389)
Roma,Texas,2310,US-Mexico Border,2017,Trucks,709,26.404,-99.019,POINT (-99.018981 26.403928)
Alcan,Alaska,3104,US-Canada Border,2017,Trucks,476,62.615,-141.001,POINT (-141.001444 62.614961)
Roma,Texas,2310,US-Mexico Border,2022,Truck Containers Empty,1424,26.404,-99.019,POINT (-99.018981 26.403928)
Calais,Maine,0115,US-Canada Border,2018,Trains,19,45.189,-67.275,POINT (-67.275381 45.188548)
Beecher Falls,Vermont,0206,US-Canada Border,2016,Trains,0,45.013,-71.505,POINT (-71.505309 45.013411)
Laredo,Texas,2304,US-Mexico Border,2018,Trucks,198066,27.500,-99.507,POINT (-99.507412 27.499561)
Calais,Maine,0115,US-Canada Border,2017,Trains,17,45.189,-67.275,POINT (-67.275381 45.188548)
Roma,Texas,2310,US-Mexico Border,2017,Trucks,602,26.404,-99.019,POINT (-99.018981 26.403928)
Calais,Maine,0115,US-Canada Border,2019,Buses,2,45.189,-67.275,POINT (-67.275381 45.188548)
Morgan,Montana,3319,US-Canada Border,2017,Trucks,29,49.000,-107.832,POINT (-107.831819 48.999829)
Eagle Pass,Texas,2303,US-Mexico Border,2018,Trains,276,28.705,-100.512,POINT (-100.511977 28.705483)
Madawaska,Maine,0109,US-Canada Border,2017,Trucks,205,47.360,-68.329,POINT (-68.328684 47.360052)
Turner,Montana,3306,US-Canada Border,2018,Bus Passengers,50,49.000,-108.388,POINT (-108.387916 48.999527)
Madawaska,Maine,0109,US-Canada Border,2021,Trucks,102,47.360,-68.329,POINT (-68.328684 47.360052)
Laredo,Texas,2304,US-Mexico Border,2017,Trains,333,27.500,-99.507,POINT (-99.507412 27.499561)
Laredo,Texas,2304,US-Mexico Border,2021,Trains,316,27.500,-99.507,POINT (-99.507412 27.499561)
Wildhorse,Montana,3323,US-Canada Border,2015,Trains,0,48.999,-110.215,POINT (-110.215083 48.999361)
Alcan,Alaska,3104,US-Canada Border,2015,Trains,0,62.615,-141.001,POINT (-141.001444 62.614961)
Van Buren,Maine,0108,US-Canada Border,2016,Trucks,901,47.160,-67.931,POINT (-67.930799 47.159645)
Calais,Maine,0115,US-Canada Border,2016,Trucks,4574,45.189,-67.275,POINT (-67.275381 45.188548)
Laredo,Texas,2304,US-Mexico Border,2015,Buses,3765,27.500,-99.507,POINT (-99.507412 27.499561)
Morgan,Montana,3319,US-Canada Border,2014,Pedestrians,0,49.000,-107.832,POINT (-107.831819 48.999829)
Laredo,Texas,2304,US-Mexico Border,2015,Buses,2941,27.500,-99.507,POINT (-99.507412 27.499561)
Neche,North Dakota,3404,US-Canada Border,2015,Pedestrians,0,49.001,-97.557,POINT (-97.557333 49.000527)
Turner,Montana,3306,US-Canada Border,2015,Trucks,37,49.000,-108.388,POINT (-108.387916 48.999527)
Ketchikan,Alaska,3102,US-Canada Border,2014,Buses,0,55.342,-131.648,POINT (-131.647804 55.34208)
Naco,Arizona,2603,US-Mexico Border,2016,Buses,0,31.334,-109.948,POINT (-109.948413 31.334084)
Roma,Texas,2310,US-Mexico Border,2015,Bus Passengers,330,26.404,-99.019,POINT (-99.018981 26.403928)
Neche,North Dakota,3404,US-Canada Border,2015,Pedestrians,0,49.001,-97.557,POINT (-97.557333 49.000527)
Roseau,Minnesota,3426,US-Canada Border,2014,Buses,0,49.000,-95.766,POINT (-95.766469 48.999538)
Laredo,Texas,2304,US-Mexico Border,2014,Train Passengers,0,27.500,-99.507,POINT (-99.507412 27.499561)
Del Rio,Texas,2302,US-Mexico Border,2014,Buses,0,29.327,-100.928,POINT (-100.927612 29.326784)
Madawaska,Maine,0109,US-Canada Border,2015,Buses,2,47.360,-68.329,POINT (-68.328684 47.360052)
Laredo,Texas,2304,US-Mexico Border,2016,Bus Passengers,94506,27.500,-99.507,POINT (-99.507412 27.499561)
Sumas,Washington,3009,US-Canada Border,2016,Trains,14,49.002,-122.265,POINT (-122.264805 49.002388)
Turner,Montana,3306,US-Canada Border,2014,Pedestrians,0,49.000,-108.388,POINT (-108.387916 48.999527)
Beecher Falls,Vermont,0206,US-Canada Border,2014,Pedestrians,0,45.013,-71.505,POINT (-71.505309 45.013411)
Alcan,Alaska,3104,US-Canada Border,2014,Trucks,731,62.615,-141.001,POINT (-141.001444 62.614961)
Scobey,Montana,3309,US-Canada Border,2016,Trucks,8,49.000,-105.408,POINT (-105.407638 48.999527)
Madawaska,Maine,0109,US-Canada Border,2014,Trains,0,47.360,-68.329,POINT (-68.328684 47.360052)
Vanceboro,Maine,0105,US-Canada Border,2016,Buses,0,45.569,-67.429,POINT (-67.428541 45.568761)
Whitlash,Montana,3321,US-Canada Border,2015,Buses,0,48.997,-111.258,POINT (-111.257916 48.99725)
Madawaska,Maine,0109,US-Canada Border,2015,Trains,0,47.360,-68.329,POINT (-68.328684 47.360052)
Madawaska,Maine,0109,US-Canada Border,2014,Bus Passengers,213,47.360,-68.329,POINT (-68.328684 47.360052)
Columbus,New Mexico,2406,US-Mexico Border,2015,Trucks,556,31.784,-107.628,POINT (-107.627948 31.783742)
Sherwood,North Dakota,3414,US-Canada Border,2015,Trucks,635,48.999,-101.628,POINT (-101.627527 48.999305)
Turner,Montana,3306,US-Canada Border,2015,Trucks,30,49.000,-108.388,POINT (-108.387916 48.999527)
Morgan,Montana,3319,US-Canada Border,2015,Trucks,21,49.000,-107.832,POINT (-107.831819 48.999829)
Roma,Texas,2310,US-Mexico Border,2014,Train Passengers,0,26.404,-99.019,POINT (-99.018981 26.403928)
Laredo,Texas,2304,US-Mexico Border,2016,Buses,3631,27.500,-99.507,POINT (-99.507412 27.499561)
Raymond,Montana,3301,US-Canada Border,2014,Trucks,1449,48.999,-104.574,POINT (-104.574333 48.999194)
Beecher Falls,Vermont,0206,US-Canada Border,2015,Trains,0,45.013,-71.505,POINT (-71.505309 45.013411)
Warroad,Minnesota,3423,US-Canada Border,2014,Buses,10,48.999,-95.377,POINT (-95.376555 48.999)
Turner,Montana,3306,US-Canada Border,2016,Pedestrians,0,49.000,-108.388,POINT (-108.387916 48.999527)
Del Rio,Texas,2302,US-Mexico Border,2014,Trucks,5495,29.327,-100.928,POINT (-100.927612 29.326784)
Raymond,Montana,3301,US-Canada Border,2015,Trucks,1257,48.999,-104.574,POINT (-104.574333 48.999194)
Madawaska,Maine,0109,US-Canada Border,2015,Buses,2,47.360,-68.329,POINT (-68.328684 47.360052)
Wildhorse,Montana,3323,US-Canada Border,2012,Pedestrians,0,48.999,-110.215,POINT (-110.215083 48.999361)
Warroad,Minnesota,3423,US-Canada Border,2013,Trucks,1009,48.999,-95.377,POINT (-95.376555 48.999)
Alcan,Alaska,3104,US-Canada Border,2013,Train Passengers,0,62.615,-141.001,POINT (-141.001444 62.614961)
Eastport,Maine,0103,US-Canada Border,2013,Trains,0,44.859,-66.980,POINT (-66.98007566 44.8594395785)
Hansboro,North Dakota,3415,US-Canada Border,2013,Pedestrians,0,49.000,-99.347,POINT (-99.346527 48.999583)
Warroad,Minnesota,3423,US-Canada Border,2013,Pedestrians,0,48.999,-95.377,POINT (-95.376555 48.999)
Fort Fairfield,Maine,0107,US-Canada Border,2013,Pedestrians,0,46.765,-67.789,POINT (-67.789471 46.765323)
Roma,Texas,2310,US-Mexico Border,2014,Buses,26,26.404,-99.019,POINT (-99.018981 26.403928)
Naco,Arizona,2603,US-Mexico Border,2013,Trucks,316,31.334,-109.948,POINT (-109.948413 31.334084)
Del Rio,Texas,2302,US-Mexico Border,2012,Buses,0,29.327,-100.928,POINT (-100.927612 29.326784)
Fort Kent,Maine,0110,US-Canada Border,2013,Trains,0,47.249,-68.604,POINT (-68.603918 47.249206)
Maida,North Dakota,3416,US-Canada Border,2012,Trains,0,49.000,-98.365,POINT (-98.36525 49.00025)
Turner,Montana,3306,US-Canada Border,2012,Trains,0,49.000,-108.388,POINT (-108.387916 48.999527)
Roma,Texas,2310,US-Mexico Border,2012,Trucks,547,26.404,-99.019,POINT (-99.018981 26.403928)
Columbus,New Mexico,2406,US-Mexico Border,2014,Trains,0,31.784,-107.628,POINT (-107.627948 31.783742)
Scobey,Montana,3309,US-Canada Border,2013,Pedestrians,0,49.000,-105.408,POINT (-105.407638 48.999527)
Roma,Texas,2310,US-Mexico Border,2013,Trucks,583,26.404,-99.019,POINT (-99.018981 26.403928)
Dalton Cache,Alaska,3106,US-Canada Border,2012,Trucks,99,59.451,-136.362,POINT (-136.361944 59.450556)
San Luis,Arizona,2608,US-Mexico Border,2015,Buses,5,32.485,-114.782,POINT (-114.7822222 32.485)
Roma,Texas,2310,US-Mexico Border,2013,Bus Passengers,2195,26.404,-99.019,POINT (-99.018981 26.403928)
Turner,Montana,3306,US-Canada Border,2014,Bus Passengers,44,49.000,-108.388,POINT (-108.387916 48.999527)
Turner,Montana,3306,US-Canada Border,2013,Pedestrians,0,49.000,-108.388,POINT (-108.387916 48.999527)
Blaine,Washington,3004,US-Canada Border,2012,Trains,194,48.994,-122.749,POINT (-122.748884 48.994045)
Lancaster,Minnesota,3430,US-Canada Border,2015,Trains,0,49.000,-96.801,POINT (-96.800527 49.000194)
Madawaska,Maine,0109,US-Canada Border,2013,Buses,2,47.360,-68.329,POINT (-68.328684 47.360052)
Fort Fairfield,Maine,0107,US-Canada Border,2013,Buses,0,46.765,-67.789,POINT (-67.789471 46.765323)
