Roma,Texas,2310,US-Mexico Border,1997,Trucks,1015,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,1999,Pedestrians,39693,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,1997,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Scobey,Montana,3309,US-Canada Border,1998,Buses,0,49.000,-105.408,POINT (-105.407638 48.999527)
Laredo,Texas,2304,US-Mexico Border,1998,Trains,148,27.500,-99.507,POINT (-99.507412 27.499561)
Laredo,Texas,2304,US-Mexico Border,1998,Buses,2108,27.500,-99.507,POINT (-99.507412 27.499561)
Del Rio,Texas,2302,US-Mexico Border,1997,Trains,0,29.327,-100.928,POINT (-100.927612 29.326784)
Nogales,Arizona,2604,US-Mexico Border,1997,Buses,66,31.333,-110.943,POINT (-110.942516 31.332839)
Madawaska,Maine,0109,US-Canada Border,1997,Trains,0,47.360,-68.329,POINT (-68.328684 47.360052)
Calais,Maine,0115,US-Canada Border,1998,Train Passengers,0,45.189,-67.275,POINT (-67.275381 45.188548)
Roma,Texas,2310,US-Mexico Border,1998,Trucks,1206,26.404,-99.019,POINT (-99.018981 26.403928)
Morgan,Montana,3319,US-Canada Border,1998,Buses,0,49.000,-107.832,POINT (-107.831819 48.999829)
Detroit,Michigan,3801,US-Canada Border,1998,Trains,349,42.332,-83.048,POINT (-83.047924 42.331685)
Warroad,Minnesota,3423,US-Canada Border,1997,Trains,262,48.999,-95.377,POINT (-95.376555 48.999)
Maida,North Dakota,3416,US-Canada Border,1997,Buses,2,49.000,-98.365,POINT (-98.36525 49.00025)
Alcan,Alaska,3104,US-Canada Border,1997,Buses,3,62.615,-141.001,POINT (-141.001444 62.614961)
St John,North Dakota,3405,US-Canada Border,1998,Trucks,54,48.999,-99.659,POINT (-99.659111 48.999277)
Porthill,Idaho,3308,US-Canada Border,1998,Buses,16,49.000,-116.499,POINT (-116.49925 48.999861)
Naco,Arizona,2603,US-Mexico Border,1997,Buses,0,31.334,-109.948,POINT (-109.948413 31.334084)
Ambrose,North Dakota,3410,US-Canada Border,1998,Buses,2,48.999,-103.487,POINT (-103.486555 48.999305)
Del Rio,Texas,2302,US-Mexico Border,1997,Bus Passengers,598,29.327,-100.928,POINT (-100.927612 29.326784)
Piegan,Montana,3316,US-Canada Border,1997,Trains,0,48.998,-113.379,POINT (-113.378777 48.998083)
Roma,Texas,2310,US-Mexico Border,1998,Train Passengers,0,26.404,-99.019,POINT (-99.018981 26.403928)
Warroad,Minnesota,3423,US-Canada Border,1998,Buses,174,48.999,-95.377,POINT (-95.376555 48.999)
Noonan,North Dakota,3420,US-Canada Border,1998,Buses,0,48.999,-103.004,POINT (-103.004361 48.999333)
Turner,Montana,3306,US-Canada Border,2000,Trains,0,49.000,-108.388,POINT (-108.387916 48.999527)
Roma,Texas,2310,US-Mexico Border,1998,Pedestrians,44665,26.404,-99.019,POINT (-99.018981 26.403928)
Warroad,Minnesota,3423,US-Canada Border,1998,Trucks,1312,48.999,-95.377,POINT (-95.376555 48.999)
Scobey,Montana,3309,US-Canada Border,1998,Trucks,29,49.000,-105.408,POINT (-105.407638 48.999527)
Bridgewater,Maine,0127,US-Canada Border,1998,Buses,0,46.450,-67.785,POINT (-67.78484 46.450335)
Progreso,Texas,2309,US-Mexico Border,1997,Trains,0,26.062,-97.950,POINT (-97.949958 26.062133)
Progreso,Texas,2309,US-Mexico Border,1997,Trains,0,26.062,-97.950,POINT (-97.949958 26.062133)
Richford,Vermont,0203,US-Canada Border,1998,Buses,3,45.012,-72.589,POINT (-72.588559 45.01174)
Warroad,Minnesota,3423,US-Canada Border,1998,Trains,214,48.999,-95.377,POINT (-95.376555 48.999)
Carbury,North Dakota,3421,US-Canada Border,1998,Buses,0,48.999,-100.556,POINT (-100.555805 48.999416)
Bridgewater,Maine,0127,US-Canada Border,1999,Buses,0,46.450,-67.785,POINT (-67.78484 46.450335)
Laredo,Texas,2304,US-Mexico Border,1998,Buses,2162,27.500,-99.507,POINT (-99.507412 27.499561)
Carbury,North Dakota,3421,US-Canada Border,1998,Trains,0,48.999,-100.556,POINT (-100.555805 48.999416)
Turner,Montana,3306,US-Canada Border,1998,Trains,0,49.000,-108.388,POINT (-108.387916 48.999527)
Roma,Texas,2310,US-Mexico Border,1997,Buses,378,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,1998,Pedestrians,41590,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,1997,Buses,309,26.404,-99.019,POINT (-99.018981 26.403928)
Alcan,Alaska,3104,US-Canada Border,1998,Trains,0,62.615,-141.001,POINT (-141.001444 62.614961)
Roma,Texas,2310,US-Mexico Border,1997,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Piegan,Montana,3316,US-Canada Border,1997,Trains,0,48.998,-113.379,POINT (-113.378777 48.998083)
Metaline Falls,Washington,3025,US-Canada Border,1996,Pedestrians,0,49.000,-117.299,POINT (-117.299444 48.999972)
Calais,Maine,0115,US-Canada Border,1996,Buses,12,45.189,-67.275,POINT (-67.275381 45.188548)
Madawaska,Maine,0109,US-Canada Border,1996,Trucks,1413,47.360,-68.329,POINT (-68.328684 47.360052)
Vanceboro,Maine,0105,US-Canada Border,1996,Trucks,587,45.569,-67.429,POINT (-67.428541 45.568761)
Antler,North Dakota,3413,US-Canada Border,1996,Trains,0,48.999,-101.296,POINT (-101.296055 48.999472)
Laredo,Texas,2304,US-Mexico Border,1996,Buses,2258,27.500,-99.507,POINT (-99.507412 27.499561)
Turner,Montana,3306,US-Canada Border,1996,Buses,12,49.000,-108.388,POINT (-108.387916 48.999527)
Roma,Texas,2310,US-Mexico Border,1997,Pedestrians,44311,26.404,-99.019,POINT (-99.018981 26.403928)
Alcan,Alaska,3104,US-Canada Border,1996,Trains,0,62.615,-141.001,POINT (-141.001444 62.614961)
Calais,Maine,0115,US-Canada Border,1996,Trains,19,45.189,-67.275,POINT (-67.275381 45.188548)
Calais,Maine,0115,US-Canada Border,1996,Trucks,9647,45.189,-67.275,POINT (-67.275381 45.188548)
Piegan,Montana,3316,US-Canada Border,1996,Buses,66,48.998,-113.379,POINT (-113.378777 48.998083)
Eagle Pass,Texas,2303,US-Mexico Border,1996,Trucks,4895,28.705,-100.512,POINT (-100.511977 28.705483)
Scobey,Montana,3309,US-Canada Border,1996,Pedestrians,0,49.000,-105.408,POINT (-105.407638 48.999527)
Laredo,Texas,2304,US-Mexico Border,1996,Trucks,83790,27.500,-99.507,POINT (-99.507412 27.499561)
Calais,Maine,0115,US-Canada Border,1996,Trucks,9906,45.189,-67.275,POINT (-67.275381 45.188548)
Morgan,Montana,3319,US-Canada Border,1996,Buses,1,49.000,-107.832,POINT (-107.831819 48.999829)
Raymond,Montana,3301,US-Canada Border,1996,Trains,0,48.999,-104.574,POINT (-104.574333 48.999194)
Scobey,Montana,3309,US-Canada Border,1996,Pedestrians,0,49.000,-105.408,POINT (-105.407638 48.999527)
Scobey,Montana,3309,US-Canada Border,1996,Trains,0,49.000,-105.408,POINT (-105.407638 48.999527)
Turner,Montana,3306,US-Canada Border,1997,Buses,1,49.000,-108.388,POINT (-108.387916 48.999527)
Jackman,Maine,0104,US-Canada Border,1996,Trucks,5908,45.806,-70.397,POINT (-70.396722 45.805661)
Morgan,Montana,3319,US-Canada Border,1996,Pedestrians,0,49.000,-107.832,POINT (-107.831819 48.999829)
Alcan,Alaska,3104,US-Canada Border,1996,Personal Vehicles,1481,62.615,-141.001,POINT (-141.001444 62.614961)
Scobey,Montana,3309,US-Canada Border,1996,Trains,0,49.000,-105.408,POINT (-105.407638 48.999527)
Vanceboro,Maine,0105,US-Canada Border,1996,Buses,8,45.569,-67.429,POINT (-67.428541 45.568761)
Del Bonita,Montana,3322,US-Canada Border,2002,Trains,0,48.999,-112.788,POINT (-112.78825 48.998555)
Highgate Springs,Vermont,0212,US-Canada Border,2020,Trains,15,45.015,-73.085,POINT (-73.085037 45.015414)
Willow Creek,Montana,3325,US-Canada Border,2019,Personal Vehicles,212,49.000,-109.731,POINT (-109.731333 48.999972)
Pinecreek,Minnesota,3425,US-Canada Border,2020,Truck Containers Loaded,7,49.000,-95.978,POINT (-95.977694 48.999916)
Highgate Springs,Vermont,0212,US-Canada Border,2019,Truck Containers Empty,1471,45.015,-73.085,POINT (-73.085037 45.015414)
Whitlash,Montana,3321,US-Canada Border,2022,Personal Vehicle Passengers,52,48.997,-111.258,POINT (-111.257916 48.99725)
Calexico East,California,2507,US-Mexico Border,2021,Personal Vehicles,112800,32.673,-115.388,POINT (-115.388018 32.673389)
Turner,Montana,3306,US-Canada Border,2022,Pedestrians,3,49.000,-108.388,POINT (-108.387916 48.999527)
Laurier,Washington,3016,US-Canada Border,2021,Train Passengers,18,49.000,-118.224,POINT (-118.223777 49.000083)
Roma,Texas,2310,US-Mexico Border,2001,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Calais,Maine,0115,US-Canada Border,2019,Pedestrians,844,45.189,-67.275,POINT (-67.275381 45.188548)
Jackman,Maine,0104,US-Canada Border,2019,Train Passengers,43,45.806,-70.397,POINT (-70.396722 45.805661)
Otay Mesa,California,2506,US-Mexico Border,2022,Pedestrians,205911,32.550,-116.939,POINT (-116.938538 32.55033)
International Falls,Minnesota,3604,US-Canada Border,2020,Personal Vehicles,1199,48.608,-93.401,POINT (-93.401355 48.6078)
Highgate Springs,Vermont,0212,US-Canada Border,2021,Rail Containers Empty,116,45.015,-73.085,POINT (-73.085037 45.015414)
Norton,Vermont,0211,US-Canada Border,2022,Rail Containers Loaded,655,45.011,-71.793,POINT (-71.793219 45.010771)
Skagway,Alaska,3103,US-Canada Border,2017,Buses,3027,59.630,-135.164,POINT (-135.164444 59.629722)
Morgan,Montana,3319,US-Canada Border,2020,Personal Vehicle Passengers,51,49.000,-107.832,POINT (-107.831819 48.999829)
Walhalla,North Dakota,3407,US-Canada Border,2020,Pedestrians,1,49.000,-97.908,POINT (-97.908416 49.000472)
Point Roberts,Washington,3017,US-Canada Border,2021,Personal Vehicles,5175,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Beecher Falls,Vermont,0206,US-Canada Border,2021,Pedestrians,24,45.013,-71.505,POINT (-71.505309 45.013411)
Presidio,Texas,2403,US-Mexico Border,2019,Bus Passengers,265,29.562,-104.395,POINT (-104.394907 29.561827)
Derby Line,Vermont,0209,US-Canada Border,2022,Personal Vehicle Passengers,12206,45.006,-72.099,POINT (-72.099279 45.005739)
Danville,Washington,3012,US-Canada Border,2019,Personal Vehicles,2799,49.000,-118.504,POINT (-118.503722 49.000083)
Massena,New York,0704,US-Canada Border,2021,Truck Containers Loaded,1586,44.991,-74.740,POINT (-74.739722 44.990556)
Piegan,Montana,3316,US-Canada Border,2022,Pedestrians,34,48.998,-113.379,POINT (-113.378777 48.998083)
San Ysidro,California,2504,US-Mexico Border,2021,Bus Passengers,5675,32.543,-117.029,POINT (-117.028761 32.542528)
International Falls,Minnesota,3604,US-Canada Border,2019,Rail Containers Loaded,58754,48.608,-93.401,POINT (-93.401355 48.6078)
Fortuna,North Dakota,3417,US-Canada Border,2019,Truck Containers Empty,26,49.000,-103.809,POINT (-103.80925 48.999555)
Calexico,California,2503,US-Mexico Border,2021,Personal Vehicle Passengers,557299,32.673,-115.388,POINT (-115.388018 32.673389)
Laredo,Texas,2304,US-Mexico Border,2019,Truck Containers Empty,56017,27.500,-99.507,POINT (-99.507412 27.499561)
Highgate Springs,Vermont,0212,US-Canada Border,2020,Truck Containers Loaded,5667,45.015,-73.085,POINT (-73.085037 45.015414)
Jackman,Maine,0104,US-Canada Border,2022,Pedestrians,31,45.806,-70.397,POINT (-70.396722 45.805661)
Rio Grande City,Texas,2307,US-Mexico Border,2021,Truck Containers Loaded,3233,26.366,-98.803,POINT (-98.802513 26.365761)
Calexico East,California,2507,US-Mexico Border,2019,Personal Vehicles,275461,32.673,-115.388,POINT (-115.388018 32.673389)
Otay Mesa,California,2506,US-Mexico Border,2021,Personal Vehicle Passengers,671514,32.550,-116.939,POINT (-116.938538 32.55033)
Sweetgrass,Montana,3310,US-Canada Border,2019,Rail Containers Empty,631,48.998,-111.960,POINT (-111.959611 48.998388)
Rio Grande City,Texas,2307,US-Mexico Border,2020,Personal Vehicle Passengers,38885,26.366,-98.803,POINT (-98.802513 26.365761)
Otay Mesa,California,2506,US-Mexico Border,2019,Trains,17,32.550,-116.939,POINT (-116.938538 32.55033)
Andrade,California,2502,US-Mexico Border,2021,Personal Vehicle Passengers,62393,32.718,-114.728,POINT (-114.72832 32.718143)
Baudette,Minnesota,3424,US-Canada Border,2019,Trucks,518,48.719,-94.590,POINT (-94.590467 48.719109)
Skagway,Alaska,3103,US-Canada Border,2019,Personal Vehicle Passengers,25254,59.630,-135.164,POINT (-135.164444 59.629722)
Whitlash,Montana,3321,US-Canada Border,2022,Personal Vehicle Passengers,47,48.997,-111.258,POINT (-111.257916 48.99725)
Naco,Arizona,2603,US-Mexico Border,2021,Truck Containers Empty,264,31.334,-109.948,POINT (-109.948413 31.334084)
Eastport,Idaho,3302,US-Canada Border,2022,Personal Vehicle Passengers,2660,49.001,-116.181,POINT (-116.181027 49.000555)
Jackman,Maine,0104,US-Canada Border,2022,Personal Vehicle Passengers,17392,45.806,-70.397,POINT (-70.396722 45.805661)
Limestone,Maine,0118,US-Canada Border,2022,Personal Vehicle Passengers,348,46.925,-67.790,POINT (-67.789597 46.924555)
Port Huron,Michigan,3802,US-Canada Border,2020,Truck Containers Empty,6536,42.999,-82.424,POINT (-82.423611 42.998611)
Calexico East,California,2507,US-Mexico Border,2022,Pedestrians,37701,32.673,-115.388,POINT (-115.388018 32.673389)
Beecher Falls,Vermont,0206,US-Canada Border,2020,Personal Vehicles,355,45.013,-71.505,POINT (-71.505309 45.013411)
Pinecreek,Minnesota,3425,US-Canada Border,2021,Truck Containers Loaded,8,49.000,-95.978,POINT (-95.977694 48.999916)
Dalton Cache,Alaska,3106,US-Canada Border,2019,Truck Containers Empty,75,59.451,-136.362,POINT (-136.361944 59.450556)
Roma,Texas,2310,US-Mexico Border,2018,Buses,32,26.404,-99.019,POINT (-99.018981 26.403928)
Hidalgo,Texas,2305,US-Mexico Border,2021,Bus Passengers,10225,26.095,-98.271,POINT (-98.271092 26.095032)
Eagle Pass,Texas,2303,US-Mexico Border,2022,Trucks,17609,28.705,-100.512,POINT (-100.511977 28.705483)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2022,Bus Passengers,54,46.509,-84.361,POINT (-84.360833 46.508611)
Sarles,North Dakota,3409,US-Canada Border,2019,Personal Vehicle Passengers,423,49.000,-98.938,POINT (-98.938361 49.000027)
Porthill,Idaho,3308,US-Canada Border,2019,Truck Containers Empty,298,49.000,-116.499,POINT (-116.49925 48.999861)
Highgate Springs,Vermont,0212,US-Canada Border,2019,Personal Vehicles,50093,45.015,-73.085,POINT (-73.085037 45.015414)
Roseau,Minnesota,3426,US-Canada Border,2021,Personal Vehicles,473,49.000,-95.766,POINT (-95.766469 48.999538)
El Paso,Texas,2402,US-Mexico Border,2020,Rail Containers Empty,3523,31.764,-106.451,POINT (-106.451188 31.764363)
Rio Grande City,Texas,2307,US-Mexico Border,2022,Truck Containers Loaded,4013,26.366,-98.803,POINT (-98.802513 26.365761)
Madawaska,Maine,0109,US-Canada Border,2021,Trucks,136,47.360,-68.329,POINT (-68.328684 47.360052)
Ogdensburg,New York,0701,US-Canada Border,2021,Personal Vehicles,1236,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Tornillo,Texas,2404,US-Mexico Border,2020,Personal Vehicles,32824,31.435,-106.143,POINT (-106.142669 31.435334)
Portal,North Dakota,3403,US-Canada Border,2021,Personal Vehicles,1081,48.999,-102.552,POINT (-102.551944 48.998944)
Point Roberts,Washington,3017,US-Canada Border,2021,Truck Containers Empty,80,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Turner,Montana,3306,US-Canada Border,2022,Personal Vehicles,228,49.000,-108.388,POINT (-108.387916 48.999527)
Dunseith,North Dakota,3422,US-Canada Border,2022,Personal Vehicles,797,48.999,-100.052,POINT (-100.052166 48.999277)
Northgate,North Dakota,3406,US-Canada Border,2019,Pedestrians,8,48.999,-102.275,POINT (-102.27475 48.998833)
El Paso,Texas,2402,US-Mexico Border,2022,Pedestrians,268234,31.764,-106.451,POINT (-106.451188 31.764363)
Houlton,Maine,0106,US-Canada Border,2019,Pedestrians,29,46.135,-67.781,POINT (-67.781288 46.134879)
Buffalo Niagara Falls,New York,0901,US-Canada Border,2020,Personal Vehicles,12069,43.095,-79.056,POINT (-79.055847 43.09549)
Presidio,Texas,2403,US-Mexico Border,2020,Pedestrians,6191,29.562,-104.395,POINT (-104.394907 29.561827)
Laredo,Texas,2304,US-Mexico Border,1997,Pedestrians,408542,27.500,-99.507,POINT (-99.507412 27.499561)
Trout River,New York,0715,US-Canada Border,2022,Truck Containers Loaded,408,44.992,-74.308,POINT (-74.308172 44.992058)
Grand Portage,Minnesota,3613,US-Canada Border,2021,Trucks,1267,48.001,-89.585,POINT (-89.58515 48.001427)
Detroit,Michigan,3801,US-Canada Border,2022,Rail Containers Loaded,6282,42.332,-83.048,POINT (-83.047924 42.331685)
Hidalgo,Texas,2305,US-Mexico Border,2019,Personal Vehicle Passengers,606149,26.095,-98.271,POINT (-98.271092 26.095032)
Morgan,Montana,3319,US-Canada Border,2020,Personal Vehicles,45,49.000,-107.832,POINT (-107.831819 48.999829)
Blaine,Washington,3004,US-Canada Border,2019,Personal Vehicles,400860,48.994,-122.749,POINT (-122.748884 48.994045)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2020,Buses,1,46.509,-84.361,POINT (-84.360833 46.508611)
Wildhorse,Montana,3323,US-Canada Border,2022,Truck Containers Loaded,24,48.999,-110.215,POINT (-110.215083 48.999361)
Bridgewater,Maine,0127,US-Canada Border,2019,Truck Containers Empty,319,46.450,-67.785,POINT (-67.78484 46.450335)
Jackman,Maine,0104,US-Canada Border,2019,Pedestrians,9,45.806,-70.397,POINT (-70.396722 45.805661)
Sumas,Washington,3009,US-Canada Border,2019,Trains,19,49.002,-122.265,POINT (-122.264805 49.002388)
Lukeville,Arizona,2602,US-Mexico Border,2021,Bus Passengers,222,31.880,-112.817,POINT (-112.817077 31.880195)
Walhalla,North Dakota,3407,US-Canada Border,2020,Trucks,571,49.000,-97.908,POINT (-97.908416 49.000472)
Brownsville,Texas,2301,US-Mexico Border,2020,Truck Containers Loaded,11038,25.952,-97.401,POINT (-97.40067 25.95155)
Lukeville,Arizona,2602,US-Mexico Border,2022,Pedestrians,6162,31.880,-112.817,POINT (-112.817077 31.880195)
Massena,New York,0704,US-Canada Border,2022,Personal Vehicle Passengers,100623,44.991,-74.740,POINT (-74.739722 44.990556)
Portal,North Dakota,3403,US-Canada Border,2022,Buses,7,48.999,-102.552,POINT (-102.551944 48.998944)
El Paso,Texas,2402,US-Mexico Border,2019,Pedestrians,668038,31.764,-106.451,POINT (-106.451188 31.764363)
Laredo,Texas,2304,US-Mexico Border,2019,Truck Containers Loaded,140442,27.500,-99.507,POINT (-99.507412 27.499561)
Douglas,Arizona,2601,US-Mexico Border,2021,Trucks,2194,31.334,-109.560,POINT (-109.560344 31.334043)
Port Huron,Michigan,3802,US-Canada Border,2021,Rail Containers Empty,12361,42.999,-82.424,POINT (-82.423611 42.998611)
Champlain Rouses Point,New York,0712,US-Canada Border,2019,Personal Vehicle Passengers,139951,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Danville,Washington,3012,US-Canada Border,2019,Pedestrians,7,49.000,-118.504,POINT (-118.503722 49.000083)
Lancaster,Minnesota,3430,US-Canada Border,2020,Trucks,220,49.000,-96.801,POINT (-96.800527 49.000194)
Port Huron,Michigan,3802,US-Canada Border,2019,Personal Vehicles,163697,42.999,-82.424,POINT (-82.423611 42.998611)
Richford,Vermont,0203,US-Canada Border,2020,Trucks,290,45.012,-72.589,POINT (-72.588559 45.01174)
Roma,Texas,2310,US-Mexico Border,2021,Truck Containers Loaded,1283,26.404,-99.019,POINT (-99.018981 26.403928)
Antler,North Dakota,3413,US-Canada Border,2021,Truck Containers Empty,12,48.999,-101.296,POINT (-101.296055 48.999472)
Van Buren,Maine,0108,US-Canada Border,2022,Trucks,1438,47.160,-67.931,POINT (-67.930799 47.159645)
Calexico East,California,2507,US-Mexico Border,2021,Pedestrians,16270,32.673,-115.388,POINT (-115.388018 32.673389)
Dunseith,North Dakota,3422,US-Canada Border,2019,Trucks,2333,48.999,-100.052,POINT (-100.052166 48.999277)
Beecher Falls,Vermont,0206,US-Canada Border,2020,Personal Vehicles,361,45.013,-71.505,POINT (-71.505309 45.013411)
Naco,Arizona,2603,US-Mexico Border,2019,Truck Containers Loaded,127,31.334,-109.948,POINT (-109.948413 31.334084)
Kenneth G Ward,Washington,3023,US-Canada Border,2020,Personal Vehicle Passengers,66546,49.002,-122.485,POINT (-122.485027 49.002277)
Houlton,Maine,0106,US-Canada Border,2021,Truck Containers Empty,1420,46.135,-67.781,POINT (-67.781288 46.134879)
Sherwood,North Dakota,3414,US-Canada Border,2021,Truck Containers Loaded,20,48.999,-101.628,POINT (-101.627527 48.999305)
Trout River,New York,0715,US-Canada Border,2022,Trains,41,44.992,-74.308,POINT (-74.308172 44.992058)
Rio Grande City,Texas,2307,US-Mexico Border,2020,Truck Containers Empty,843,26.366,-98.803,POINT (-98.802513 26.365761)
Eagle Pass,Texas,2303,US-Mexico Border,2019,Buses,267,28.705,-100.512,POINT (-100.511977 28.705483)
Roosville,Montana,3318,US-Canada Border,2019,Personal Vehicle Passengers,19076,49.000,-115.056,POINT (-115.056027 48.999638)
Calexico East,California,2507,US-Mexico Border,2021,Trucks,36845,32.673,-115.388,POINT (-115.388018 32.673389)
Kenneth G Ward,Washington,3023,US-Canada Border,2019,Truck Containers Empty,2730,49.002,-122.485,POINT (-122.485027 49.002277)
Calais,Maine,0115,US-Canada Border,2022,Personal Vehicle Passengers,34868,45.189,-67.275,POINT (-67.275381 45.188548)
Derby Line,Vermont,0209,US-Canada Border,2020,Personal Vehicle Passengers,3367,45.006,-72.099,POINT (-72.099279 45.005739)
Raymond,Montana,3301,US-Canada Border,2007,Trucks,2146,48.999,-104.574,POINT (-104.574333 48.999194)
Calexico East,California,2507,US-Mexico Border,2019,Train Passengers,19,32.673,-115.388,POINT (-115.388018 32.673389)
Grand Portage,Minnesota,3613,US-Canada Border,2022,Personal Vehicles,5759,48.001,-89.585,POINT (-89.58515 48.001427)
Sweetgrass,Montana,3310,US-Canada Border,2020,Truck Containers Loaded,10377,48.998,-111.960,POINT (-111.959611 48.998388)
Sarles,North Dakota,3409,US-Canada Border,2019,Truck Containers Loaded,9,49.000,-98.938,POINT (-98.938361 49.000027)
Blaine,Washington,3004,US-Canada Border,2021,Personal Vehicle Passengers,20841,48.994,-122.749,POINT (-122.748884 48.994045)
Eastport,Maine,0103,US-Canada Border,2021,Personal Vehicle Passengers,8872,44.859,-66.980,POINT (-66.98007566 44.8594395785)
Sherwood,North Dakota,3414,US-Canada Border,2020,Truck Containers Loaded,55,48.999,-101.628,POINT (-101.627527 48.999305)
Sumas,Washington,3009,US-Canada Border,2020,Personal Vehicles,3583,49.002,-122.265,POINT (-122.264805 49.002388)
Ogdensburg,New York,0701,US-Canada Border,2019,Personal Vehicle Passengers,47289,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Alcan,Alaska,3104,US-Canada Border,2003,Trains,0,62.615,-141.001,POINT (-141.001444 62.614961)
International Falls,Minnesota,3604,US-Canada Border,2022,Truck Containers Loaded,763,48.608,-93.401,POINT (-93.401355 48.6078)
Del Bonita,Montana,3322,US-Canada Border,2020,Trucks,65,48.999,-112.788,POINT (-112.78825 48.998555)
Frontier,Washington,3020,US-Canada Border,2022,Trucks,1280,49.000,-117.832,POINT (-117.831527 49.0005)
Highgate Springs,Vermont,0212,US-Canada Border,2019,Truck Containers Loaded,7291,45.015,-73.085,POINT (-73.085037 45.015414)
Nogales,Arizona,2604,US-Mexico Border,2022,Rail Containers Loaded,4541,31.333,-110.943,POINT (-110.942516 31.332839)
Sweetgrass,Montana,3310,US-Canada Border,2019,Trucks,11710,48.998,-111.960,POINT (-111.959611 48.998388)
Turner,Montana,3306,US-Canada Border,2020,Truck Containers Empty,16,49.000,-108.388,POINT (-108.387916 48.999527)
Calais,Maine,0115,US-Canada Border,2019,Truck Containers Empty,1879,45.189,-67.275,POINT (-67.275381 45.188548)
Rio Grande City,Texas,2307,US-Mexico Border,2022,Personal Vehicle Passengers,58958,26.366,-98.803,POINT (-98.802513 26.365761)
Massena,New York,0704,US-Canada Border,2022,Personal Vehicles,67509,44.991,-74.740,POINT (-74.739722 44.990556)
Roma,Texas,2310,US-Mexico Border,2022,Pedestrians,14467,26.404,-99.019,POINT (-99.018981 26.403928)
Lukeville,Arizona,2602,US-Mexico Border,2022,Personal Vehicle Passengers,81515,31.880,-112.817,POINT (-112.817077 31.880195)
Champlain Rouses Point,New York,0712,US-Canada Border,2021,Personal Vehicle Passengers,9098,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Port Angeles,Washington,3007,US-Canada Border,2019,Bus Passengers,9,48.122,-123.431,POINT (-123.430694 48.121858)
Opheim,Montana,3317,US-Canada Border,2019,Personal Vehicles,238,49.000,-106.378,POINT (-106.377583 48.999527)
Madawaska,Maine,0109,US-Canada Border,2022,Personal Vehicle Passengers,15528,47.360,-68.329,POINT (-68.328684 47.360052)
Warroad,Minnesota,3423,US-Canada Border,2021,Truck Containers Empty,449,48.999,-95.377,POINT (-95.376555 48.999)
Ketchikan,Alaska,3102,US-Canada Border,2022,Pedestrians,30,55.342,-131.648,POINT (-131.647804 55.34208)
Grand Portage,Minnesota,3613,US-Canada Border,2019,Truck Containers Empty,274,48.001,-89.585,POINT (-89.58515 48.001427)
Morgan,Montana,3319,US-Canada Border,2021,Trucks,72,49.000,-107.832,POINT (-107.831819 48.999829)
Beecher Falls,Vermont,0206,US-Canada Border,2021,Truck Containers Empty,526,45.013,-71.505,POINT (-71.505309 45.013411)
Roma,Texas,2310,US-Mexico Border,2019,Bus Passengers,895,26.404,-99.019,POINT (-99.018981 26.403928)
Trout River,New York,0715,US-Canada Border,2021,Truck Containers Empty,613,44.992,-74.308,POINT (-74.308172 44.992058)
Jackman,Maine,0104,US-Canada Border,2019,Personal Vehicle Passengers,12524,45.806,-70.397,POINT (-70.396722 45.805661)
Columbus,New Mexico,2406,US-Mexico Border,2019,Truck Containers Loaded,2059,31.784,-107.628,POINT (-107.627948 31.783742)
Derby Line,Vermont,0209,US-Canada Border,2019,Pedestrians,21,45.006,-72.099,POINT (-72.099279 45.005739)
Noonan,North Dakota,3420,US-Canada Border,2022,Trucks,66,48.999,-103.004,POINT (-103.004361 48.999333)
Highgate Springs,Vermont,0212,US-Canada Border,2022,Bus Passengers,179,45.015,-73.085,POINT (-73.085037 45.015414)
El Paso,Texas,2402,US-Mexico Border,2019,Buses,1502,31.764,-106.451,POINT (-106.451188 31.764363)
Maida,North Dakota,3416,US-Canada Border,2019,Personal Vehicles,459,49.000,-98.365,POINT (-98.36525 49.00025)
Beecher Falls,Vermont,0206,US-Canada Border,2022,Trucks,870,45.013,-71.505,POINT (-71.505309 45.013411)
Northgate,North Dakota,3406,US-Canada Border,2020,Truck Containers Loaded,186,48.999,-102.275,POINT (-102.27475 48.998833)
El Paso,Texas,2402,US-Mexico Border,2020,Personal Vehicles,393275,31.764,-106.451,POINT (-106.451188 31.764363)
Skagway,Alaska,3103,US-Canada Border,2022,Truck Containers Empty,150,59.630,-135.164,POINT (-135.164444 59.629722)
